Route Name	Start City	End City	Start Time	Arrive Time	Cost	Transportation						
C0000		A		B		13		15		10		car
T0001		A		B		13		14		50		train
C0001		A		B		18		20		10		car
T0032		A		C		2		13		240		train
P0010		A		C		9		12		900		plane
C0022		A		C		12		0		120		car
P0011		A		C		20		23		900		plane
P0016		A		E		11		15		1200		plane
P0017		A		E		22		2		1200		plane
C0018		A		F		7		16		90		car
C0028		A		F		7		16		90		car
C0019		A		F		10		19		90		car
C0029		A		F		10		19		90		car
C0024		A		I		9		21		120		car
T0030		A		I		9		23		290		train
P0012		A		I		12		16		1200		plane
P0013		A		I		23		3		1200		plane
T0033		A		K		15		22		180		train
C0016		A		M		8		20		120		car
C0026		A		M		8		20		120		car
T0006		B		A		4		5		50		train
C0002		B		A		16		18		10		car
C0003		B		A		21		23		10		car
C0036		B		D		4		10		60		car
T0015		B		D		13		16		90		train
C0032		B		G		7		18		110		car
T0017		B		G		13		21		200		train
T0002		B		G		14		23		200		train
P0008		C		A		7		10		900		plane
C0023		C		A		11		23		120		car
P0009		C		A		20		23		900		plane
T0029		C		A		22		9		240		train
C0004		C		D		6		11		50		car
T0007		C		D		9		12		90		train
C0005		C		D		14		19		50		car
C0006		C		D		18		23		50		car
C0037		D		B		5		11		60		car
T0016		D		B		10		13		90		train
T0012		D		C		0		3		90		train
C0007		D		C		7		12		50		car
C0008		D		C		15		20		50		car
C0009		D		C		18		23		50		car
P0024		D		H		8		10		600		plane
T0008		D		H		12		18		150		train
C0034		D		H		14		0		100		car
P0026		D		H		20		22		600		plane
P0018		E		A		10		14		1200		plane
P0019		E		A		20		2		1200		plane
T0019		E		F		7		18		230		train
C0010		E		F		13		22		90		car
T0035		E		K		8		2		350		train
C0020		F		A		8		17		90		car
C0030		F		A		8		17		90		car
C0021		F		A		12		21		90		car
C0031		F		A		12		21		90		car
C0011		F		E		14		23		90		car
T0024		F		E		21		8		230		train
T0025		F		G		14		18		110		train
C0012		F		K		6		12		60		car
C0013		F		K		15		21		60		car
T0020		F		K		18		21		90		train
T0014		G		B		4		13		200		train
C0033		G		B		8		19		110		car
T0005		G		B		19		4		200		train
T0028		G		F		11		15		110		train
T0003		G		I		23		2		90		train
T0018		G		J		21		5		180		train
P0022		G		K		8		10		600		plane
T0022		G		K		13		18		120		train
P0023		G		K		21		23		600		plane
T0026		G		M		18		22		110		train
C0038		H		B		14		20		60		car
C0039		H		B		18		0		60		car
C0035		H		D		11		21		100		car
P0029		H		D		11		13		600		plane
T0011		H		D		18		0		150		train
P0031		H		D		23		1		600		plane
C0042		H		J		8		12		40		car
C0043		H		J		15		19		40		car
C0044		H		J		18		22		40		car
T0009		H		J		18		21		90		train
P0025		H		L		10		13		900		plane
P0027		H		L		22		1		900		plane
P0014		I		A		9		13		1200		plane
C0025		I		A		10		22		120		car
T0031		I		A		12		2		290		train
P0015		I		A		19		23		1200		plane
T0004		I		G		16		19		90		train
P0001		I		M		8		10		600		plane
C0040		I		M		11		23		110		car
P0002		I		M		21		23		600		plane
T0013		J		G		20		4		180		train
C0045		J		H		9		13		40		car
T0010		J		H		15		18		90		train
C0046		J		H		16		20		40		car
C0047		J		H		19		23		40		car
T0036		K		A		2		9		180		train
T0034		K		E		22		16		350		train
C0014		K		F		7		13		60		car
C0015		K		F		15		21		60		car
T0023		K		F		18		21		90		train
P0020		K		G		10		12		600		plane
P0021		K		G		19		21		600		plane
T0021		K		G		21		2		120		train
P0028		L		H		8		11		900		plane
P0030		L		H		20		23		900		plane
P0004		L		M		9		12		900		plane
P0006		L		M		22		1		900		plane
C0017		M		A		9		21		120		car
C0027		M		A		9		21		120		car
T0027		M		G		7		11		110		train
P0007		M		I		1		3		600		plane
C0041		M		I		12		0		120		car
P0005		M		I		12		14		600		plane
P0001		M		L		10		13		900		plane
P0003		M		L		23		2		900		plane
